[ 2025-09-16 20:59:39,532 ] 23 root - INFO - Logging system initialized successfully.
[ 2025-09-16 20:59:41,087 ] 224 werkzeug - WARNING -  * Debugger is active!
[ 2025-09-16 20:59:41,089 ] 224 werkzeug - INFO -  * Debugger PIN: 241-629-178
[ 2025-09-16 20:59:42,959 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:59:42] "GET / HTTP/1.1" 200 -
[ 2025-09-16 20:59:47,271 ] 69 root - INFO - Entered initiated_data_ingestion method of data_integration class
[ 2025-09-16 20:59:47,271 ] 46 root - INFO - Exporting data from mongodb
[ 2025-09-16 20:59:48,180 ] 56 root - INFO - saving exported data into feature store file path :artifacts
[ 2025-09-16 20:59:48,221 ] 74 root - INFO - got the data from mongodb
[ 2025-09-16 20:59:48,221 ] 76 root - INFO - exited initiate_data_ingestion methos of data ingestion class
[ 2025-09-16 20:59:48,221 ] 67 root - INFO - Entered initiate data transformation method of data transfomration class
[ 2025-09-16 20:59:48,295 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-16 20:59:48,295 ] 57 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-16 20:59:48,296 ] 190 root - INFO - Splitting training and testing input and target feature
[ 2025-09-16 20:59:48,296 ] 204 root - INFO - Extracting model config file path
[ 2025-09-16 20:59:48,296 ] 216 root - INFO - Extracting model config file path
[ 2025-09-16 21:00:12,554 ] 261 root - INFO - Best found model on both training and testing dataset
[ 2025-09-16 21:00:12,554 ] 268 root - INFO - Saving model at path: artifacts\model.pkl
[ 2025-09-16 21:00:12,555 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-16 21:00:12,557 ] 57 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-16 21:00:12,558 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 21:00:12] "GET /train HTTP/1.1" 200 -
[ 2025-09-16 21:00:22,406 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 21:00:22] "GET /predict HTTP/1.1" 200 -
[ 2025-09-16 21:00:22,726 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 21:00:22] "[33mGET /script.js HTTP/1.1[0m" 404 -
[ 2025-09-16 21:00:22,835 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 21:00:22] "GET /static/css/style.css HTTP/1.1" 200 -
[ 2025-09-16 21:00:33,656 ] 80 root - INFO - predictions completed
[ 2025-09-16 21:00:33,656 ] 51 root - INFO - prediction completed. Downloading prediction file.
[ 2025-09-16 21:00:33,674 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 21:00:33] "POST /predict HTTP/1.1" 200 -
