[ 2025-09-16 20:19:55,890 ] 23 root - INFO - Logging system initialized successfully.
[ 2025-09-16 20:19:57,412 ] 224 werkzeug - WARNING -  * Debugger is active!
[ 2025-09-16 20:19:57,415 ] 224 werkzeug - INFO -  * Debugger PIN: 241-629-178
[ 2025-09-16 20:19:58,718 ] 69 root - INFO - Entered initiated_data_ingestion method of data_integration class
[ 2025-09-16 20:19:58,718 ] 46 root - INFO - Exporting data from mongodb
[ 2025-09-16 20:19:59,590 ] 56 root - INFO - saving exported data into feature store file path :artifacts
[ 2025-09-16 20:19:59,627 ] 74 root - INFO - got the data from mongodb
[ 2025-09-16 20:19:59,628 ] 76 root - INFO - exited initiate_data_ingestion methos of data ingestion class
[ 2025-09-16 20:19:59,635 ] 67 root - INFO - Entered initiate data transformation method of data transfomration class
[ 2025-09-16 20:19:59,699 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-16 20:19:59,700 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-16 20:19:59,701 ] 178 root - INFO - Splitting training and testing input and target feature
[ 2025-09-16 20:19:59,701 ] 190 root - INFO - Extracting model config file path
[ 2025-09-16 20:19:59,701 ] 193 root - INFO - Extracting model config file path
[ 2025-09-16 20:20:20,553 ] 234 root - INFO - Best found model on both training and testing dataset
[ 2025-09-16 20:20:20,553 ] 238 root - INFO - Saving model at path: artifacts\model.pkl
[ 2025-09-16 20:20:20,553 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-16 20:20:20,555 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-16 20:20:20,556 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:20:20] "GET /train HTTP/1.1" 200 -
[ 2025-09-16 20:20:59,028 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:20:59] "GET /predict HTTP/1.1" 200 -
[ 2025-09-16 20:20:59,109 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:20:59] "[33mGET /script.js HTTP/1.1[0m" 404 -
[ 2025-09-16 20:20:59,175 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:20:59] "GET /static/css/style.css HTTP/1.1" 200 -
[ 2025-09-16 20:21:06,902 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:21:06] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[ 2025-09-16 20:21:06,916 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:21:06] "GET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[ 2025-09-16 20:21:07,134 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:21:07] "GET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[ 2025-09-16 20:21:07,476 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:21:07] "GET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[ 2025-09-16 20:21:07,722 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:21:07] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
