[ 2025-09-16 20:15:20,983 ] 23 root - INFO - Logging system initialized successfully.
[ 2025-09-16 20:15:22,849 ] 224 werkzeug - WARNING -  * Debugger is active!
[ 2025-09-16 20:15:22,859 ] 224 werkzeug - INFO -  * Debugger PIN: 241-629-178
[ 2025-09-16 20:16:16,211 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:16:16] "GET / HTTP/1.1" 200 -
[ 2025-09-16 20:16:16,251 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:16:16] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[ 2025-09-16 20:16:29,480 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:16:29] "GET / HTTP/1.1" 200 -
[ 2025-09-16 20:16:35,225 ] 69 root - INFO - Entered initiated_data_ingestion method of data_integration class
[ 2025-09-16 20:16:35,225 ] 46 root - INFO - Exporting data from mongodb
[ 2025-09-16 20:16:36,102 ] 56 root - INFO - saving exported data into feature store file path :artifacts
[ 2025-09-16 20:16:36,147 ] 74 root - INFO - got the data from mongodb
[ 2025-09-16 20:16:36,147 ] 76 root - INFO - exited initiate_data_ingestion methos of data ingestion class
[ 2025-09-16 20:16:36,147 ] 67 root - INFO - Entered initiate data transformation method of data transfomration class
[ 2025-09-16 20:16:36,239 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-16 20:16:36,239 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-16 20:16:36,239 ] 178 root - INFO - Splitting training and testing input and target feature
[ 2025-09-16 20:16:36,239 ] 190 root - INFO - Extracting model config file path
[ 2025-09-16 20:16:36,239 ] 193 root - INFO - Extracting model config file path
[ 2025-09-16 20:16:38,587 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:16:38] "[35m[1mGET /train HTTP/1.1[0m" 500 -
[ 2025-09-16 20:16:38,733 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:16:38] "GET /train?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[ 2025-09-16 20:16:38,921 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:16:38] "GET /train?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[ 2025-09-16 20:16:39,299 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:16:39] "GET /train?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[ 2025-09-16 20:16:39,547 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:16:39] "[36mGET /train?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
