[ 2025-09-16 20:22:38,854 ] 23 root - INFO - Logging system initialized successfully.
[ 2025-09-16 20:22:40,478 ] 224 werkzeug - WARNING -  * Debugger is active!
[ 2025-09-16 20:22:40,480 ] 224 werkzeug - INFO -  * Debugger PIN: 241-629-178
[ 2025-09-16 20:22:46,985 ] 69 root - INFO - Entered initiated_data_ingestion method of data_integration class
[ 2025-09-16 20:22:46,985 ] 46 root - INFO - Exporting data from mongodb
[ 2025-09-16 20:22:47,885 ] 56 root - INFO - saving exported data into feature store file path :artifacts
[ 2025-09-16 20:22:47,927 ] 74 root - INFO - got the data from mongodb
[ 2025-09-16 20:22:47,927 ] 76 root - INFO - exited initiate_data_ingestion methos of data ingestion class
[ 2025-09-16 20:22:47,934 ] 67 root - INFO - Entered initiate data transformation method of data transfomration class
[ 2025-09-16 20:22:48,007 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-16 20:22:48,007 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-16 20:22:48,008 ] 178 root - INFO - Splitting training and testing input and target feature
[ 2025-09-16 20:22:48,008 ] 190 root - INFO - Extracting model config file path
[ 2025-09-16 20:22:48,008 ] 193 root - INFO - Extracting model config file path
[ 2025-09-16 20:23:09,870 ] 234 root - INFO - Best found model on both training and testing dataset
[ 2025-09-16 20:23:09,870 ] 238 root - INFO - Saving model at path: artifacts\model.pkl
[ 2025-09-16 20:23:09,870 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-16 20:23:09,872 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-16 20:23:09,873 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:23:09] "GET /train HTTP/1.1" 200 -
[ 2025-09-16 20:23:19,367 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:23:19] "GET /predict HTTP/1.1" 200 -
[ 2025-09-16 20:23:19,526 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:23:19] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
[ 2025-09-16 20:23:19,723 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:23:19] "[33mGET /script.js HTTP/1.1[0m" 404 -
[ 2025-09-16 20:23:44,187 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:23:44] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[ 2025-09-16 20:23:44,198 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:23:44] "[36mGET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[ 2025-09-16 20:23:44,421 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:23:44] "[36mGET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[ 2025-09-16 20:23:44,748 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:23:44] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2025-09-16 20:23:45,011 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:23:45] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2025-09-16 20:24:16,341 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:24:16] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[ 2025-09-16 20:24:16,638 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:24:16] "[36mGET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[ 2025-09-16 20:24:16,670 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:24:16] "[36mGET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[ 2025-09-16 20:24:16,994 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:24:16] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2025-09-16 20:24:17,258 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:24:17] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2025-09-16 20:30:08,779 ] 224 werkzeug - INFO -  * Detected change in 'd:\\college viit\\4th year\\internship\\project\\src\\pipeline\\predict_pipeline.py', reloading
