[ 2025-09-16 20:43:19,663 ] 23 root - INFO - Logging system initialized successfully.
[ 2025-09-16 20:43:21,174 ] 224 werkzeug - WARNING -  * Debugger is active!
[ 2025-09-16 20:43:21,176 ] 224 werkzeug - INFO -  * Debugger PIN: 241-629-178
[ 2025-09-16 20:43:27,807 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:43:27] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[ 2025-09-16 20:43:27,940 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:43:27] "[36mGET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[ 2025-09-16 20:43:28,050 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:43:28] "[36mGET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[ 2025-09-16 20:43:28,379 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:43:28] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2025-09-16 20:43:28,644 ] 224 werkzeug - INFO - 127.0.0.1 - - [16/Sep/2025 20:43:28] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2025-09-16 20:43:39,461 ] 69 root - INFO - Entered initiated_data_ingestion method of data_integration class
[ 2025-09-16 20:43:39,461 ] 46 root - INFO - Exporting data from mongodb
[ 2025-09-16 20:43:41,319 ] 56 root - INFO - saving exported data into feature store file path :artifacts
[ 2025-09-16 20:43:41,359 ] 74 root - INFO - got the data from mongodb
[ 2025-09-16 20:43:41,359 ] 76 root - INFO - exited initiate_data_ingestion methos of data ingestion class
[ 2025-09-16 20:43:41,359 ] 67 root - INFO - Entered initiate data transformation method of data transfomration class
[ 2025-09-16 20:43:41,441 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-16 20:43:41,442 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-16 20:43:41,443 ] 178 root - INFO - Splitting training and testing input and target feature
[ 2025-09-16 20:43:41,443 ] 190 root - INFO - Extracting model config file path
[ 2025-09-16 20:43:41,443 ] 193 root - INFO - Extracting model config file path
[ 2025-09-16 20:44:05,472 ] 234 root - INFO - Best found model on both training and testing dataset
[ 2025-09-16 20:44:05,472 ] 238 root - INFO - Saving model at path: artifacts\model.pkl
[ 2025-09-16 20:44:05,473 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-16 20:44:05,474 ] 55 root - INFO - Exited the save_object method of MainUtils class
